full_name,a,e,i,om,w,q,ad,per_y,H,neo,pha,rot_per
 25457 Mariannamao (1999 XH13),2.797825537610601,0.1633233265178265,8.514211462084289,193.7160391034527,273.8113999527631,2.340875363791512,3.25477571142969,4.6799277372797,14.85,N,N,8.468
 49228 (1998 SK137),2.633727291488378,0.08320068432491061,5.707520147303668,94.21554928103046,157.1422422272626,2.414599378511352,2.852855204465405,4.27429417022354,14.6,N,N,
 29342 (1995 CF1),2.537139465053857,0.1862426033811179,8.344932461633812,104.3420275941029,9.55479485660193,2.064616005941249,3.009662924166464,4.04133370992933,14.28,N,N,
  6359 Dubinin (1977 AZ1),3.206827714489164,0.1058550701144047,10.72355601658104,89.18122552285408,39.61353109550588,2.867368741927098,3.546286687051231,5.74277293126971,11.57,N,N,14.062
126756 (2002 DS7),2.61085329167415,0.240204726883331,17.36329026148843,3.415587122046438,91.9006454940976,1.983713989815115,3.237992593533185,4.2187316912601,15.52,N,N,
359755 (2011 UZ92),2.455020498928481,0.2133665040283411,13.56294442815483,212.5228785934593,324.1949873220538,1.931201357754197,2.978839640102764,3.8467227538565,16.69,N,N,
 74434 (1999 BZ20),2.6767120302589,0.1919887636200777,11.36142555750046,106.6229771521587,239.7486177077337,2.162813397002505,3.190610663515294,4.37936031456516,13.92,N,N,
135655 (2002 LC20),2.386905328149249,0.19153751874718,5.571489863175805,302.2800763845342,300.6181743915045,1.929723404111118,2.844087252187379,3.68774593658533,16.18,N,N,
       (2010 NR19),3.228357807190699,0.1061749001451666,11.36102808853403,115.6120519227696,270.6940734351066,2.885587239379357,3.57112837500204,5.80070388742106,17.12,N,N,
  4673 Bortle (1988 LF),2.549823376622402,0.05678476793359633,16.2023269561003,104.3838932809672,344.0792998746396,2.40503224790924,2.694614505335563,4.07167729137286,11.84,N,N,2.63989
       (2013 EG24),2.929594478823063,0.05637809695348447,12.67481976395949,43.02917946209077,352.2796416620361,2.764429517261583,3.094759440384542,5.01440565979524,15.2,N,N,
140327 (2001 SY339),3.035104985191468,0.1269572936596647,10.00547802892382,228.4326513547416,78.09709001095086,2.649776270298602,3.420433700084333,5.28772401048498,15.45,N,N,
 14227 (1999 XW85),3.105708870035889,0.1204048600172937,2.25231970840949,132.898816841667,85.4331728289801,2.73176642828475,3.479651311787027,5.47330079085074,12.51,N,N,
 30722 Biblioran (1978 RN5),2.718872781170419,0.335550740740625,11.13797644029359,356.0562517053332,15.42627642683625,1.806553005469162,3.631192556871676,4.48323529564345,13.83,N,N,
102897 (1999 XA11),2.695372321873562,0.05432020330861037,15.45876663659307,32.56748677963318,228.1765729692745,2.548959149356989,2.841785494390135,4.42523510393423,14.33,N,N,
  4530 Smoluchowski (1984 EP),3.115769168925434,0.100259173774676,5.212073620075316,164.7028946866635,14.89900613987229,2.803384726376361,3.428153611474506,5.499916747844,12.62,N,N,10.13741
  7910 Aleksola (1976 GD2),2.247859536937977,0.1386193278107415,8.36824266978985,202.736726237163,23.09558664665162,1.93626275891467,2.559456314961284,3.37024875498575,13.59,N,N,6.4197
       (2010 RY75),3.127260493290778,0.216471721429302,14.45186459158369,158.9632694130474,220.7553309712528,2.450297030950276,3.804223955631281,5.53037129772558,16.5,N,N,
